date,px_last,px_high,px_low,px_close_1d,volume,aja
2023-04-12,7550,7550,7310,7440,21925,5922.5048828125
2023-04-13,7500,7630,7500,7630,19636,6073.75146484375
2023-04-14,7610,7610,7505,7505,0,5974.24658203125
2023-04-17,7500,7500,7450,7450,19164,5930.46484375
2023-04-18,7450,7450,7450,7450,6846,5930.46484375
2023-04-19,7400,7450,7400,7450,13670,5930.46484375
2023-04-20,7400,7410,7400,7410,9621,5898.62353515625
2023-04-21,7440,7600,7440,7600,17741,6049.8701171875
2023-04-24,7600,7600,7450,7450,5382,5930.46484375
2023-04-25,7450,7450,7410,7410,6955,5898.62353515625
2023-04-26,7348.16015625,7348.16015625,7348.16015625,7348.16015625,3311,5849.396484375
2023-04-27,7310,7310,7310,7310,12271,5819.02001953125
2023-04-28,7330,7610,7330,7610,20282,6057.83056640625
2023-05-01,7610,7610,7610,7610,0,6057.83056640625
2023-05-02,7210,7210,7210,7210,7889,5739.416015625
2023-05-03,7310,7310,7310,7310,5754,5819.02001953125
2023-05-04,7336.0498046875,7336.0498046875,7336.0498046875,7336.0498046875,2093,5839.7568359375
2023-05-05,7310,7310,7310,7310,5114,5819.02001953125
2023-05-08,7020,7020,7020,7020,8059,5588.16943359375
2023-05-09,7177.3701171875,7177.3701171875,7177.3701171875,7177.3701171875,5020,5713.44189453125
2023-05-10,7109.7099609375,7109.7099609375,7109.7099609375,7109.7099609375,780,5659.58203125
2023-05-11,7239.60986328125,7239.60986328125,7239.60986328125,7239.60986328125,2838,5762.98681640625
2023-05-12,7291.580078125,7291.580078125,7291.580078125,7291.580078125,2637,5804.35693359375
2023-05-15,7095,7095,7095,7095,10068,5647.8720703125
2023-05-16,7200,7200,7200,7200,5908,5731.4560546875
2023-05-17,7137.759765625,7137.759765625,7137.759765625,7137.759765625,3697,5681.91064453125
2023-05-18,7166.39990234375,7166.39990234375,7166.39990234375,7166.39990234375,1000,5704.70947265625
2023-05-19,7153.7998046875,7153.7998046875,7153.7998046875,7153.7998046875,1776,5694.67919921875
2023-05-22,7153.7998046875,7153.7998046875,7153.7998046875,7153.7998046875,0,5694.67919921875
2023-05-23,7148.10986328125,7148.10986328125,7148.10986328125,7148.10986328125,1432,5690.14990234375
2023-05-24,7150,7200,7150,7200,7826,5731.4560546875
2023-05-25,7120,7120,7100,7100,7543,5651.8525390625
2023-05-26,7153.2998046875,7153.2998046875,7153.2998046875,7153.2998046875,4002,5694.28076171875
2023-05-29,7000,7000,7000,7000,5839,5572.2490234375
2023-05-30,7000,7275,7000,7275,4387,5791.15869140625
2023-05-31,7275,7400,7010,7400,17502,5890.66357421875
2023-06-01,7390,7390,7045,7045,5749,5608.07080078125
